total_distance,avg_distance,matching,mse,query_no,attack_type,n_selected
8.937337875366211,8.937337875366211,"[(0, 0)]",0.7987600564956665,0,random,10
1.0962838689193495,1.0962838689193495,"[(0, 0)]",0.012018383212527774,0,centroid,10
1.1072560548782349,1.1072560548782349,"[(0, 0)]",0.012260159477591515,0,score_known,10
9.625032424926758,9.625032424926758,"[(0, 0)]",0.9264124035835266,1,random,10
1.0940371606612547,1.0940371606612547,"[(0, 0)]",0.011969173089077398,1,centroid,10
1.0783491134643555,1.0783491134643555,"[(0, 0)]",0.011628367938101292,1,score_known,10
11.078457832336426,11.078457832336426,"[(0, 0)]",1.2273222208023071,2,random,10
1.1441381260983874,1.1441381260983874,"[(0, 0)]",0.013090520515919295,2,centroid,10
1.1220840215682983,1.1220840215682983,"[(0, 0)]",0.012590726837515831,2,score_known,10
9.553744316101074,9.553744316101074,"[(0, 0)]",0.9127402305603027,3,random,10
1.056453266146824,1.056453266146824,"[(0, 0)]",0.011160935035522922,3,centroid,10
1.049573540687561,1.049573540687561,"[(0, 0)]",0.01101604662835598,3,score_known,10
10.080968856811523,10.080968856811523,"[(0, 0)]",1.0162594318389893,4,random,10
1.0930272763720832,1.0930272763720832,"[(0, 0)]",0.011947086268933744,4,centroid,10
1.0959112644195557,1.0959112644195557,"[(0, 0)]",0.012010213918983936,4,score_known,10
9.57508659362793,9.57508659362793,"[(0, 0)]",0.9168227910995483,5,random,10
0.9862897416597926,0.9862897416597926,"[(0, 0)]",0.009727674545033402,5,centroid,10
0.9704940915107727,0.9704940915107727,"[(0, 0)]",0.009418588131666183,5,score_known,10
9.815009117126465,9.815009117126465,"[(0, 0)]",0.9633440971374512,6,random,10
1.0503411101774993,1.0503411101774993,"[(0, 0)]",0.01103216447728902,6,centroid,10
1.0613481998443604,1.0613481998443604,"[(0, 0)]",0.011264600791037083,6,score_known,10
9.845782279968262,9.845782279968262,"[(0, 0)]",0.9693943858146667,7,random,10
1.0721338150679554,1.0721338150679554,"[(0, 0)]",0.011494709174121688,7,centroid,10
1.0471385717391968,1.0471385717391968,"[(0, 0)]",0.010964992456138134,7,score_known,10
10.773918151855469,10.773918151855469,"[(0, 0)]",1.1607731580734253,8,random,10
0.89980578938207,0.89980578938207,"[(0, 0)]",0.008096504586054902,8,centroid,10
0.9425997734069824,0.9425997734069824,"[(0, 0)]",0.008884944021701813,8,score_known,10
8.622788429260254,8.622788429260254,"[(0, 0)]",0.7435248494148254,9,random,10
1.1723681820727894,1.1723681820727894,"[(0, 0)]",0.013744471543366572,9,centroid,10
1.1781152486801147,1.1781152486801147,"[(0, 0)]",0.013879556208848953,9,score_known,10
