total_distance,avg_distance,matching,mse,query_no,attack_type,n_selected
23.11762237548828,23.11762237548828,"[(0, 0)]",1.0437978506088257,0,random,10
0.40322986245155334,0.40322986245155334,"[(0, 0)]",0.0003175670572090894,0,centroid,10
0.5100011825561523,0.5100011825561523,"[(0, 0)]",0.0005080101545900106,0,score_known,10
22.89682388305664,22.89682388305664,"[(0, 0)]",1.0239542722702026,1,random,10
0.5164787173271179,0.5164787173271179,"[(0, 0)]",0.0005209966329857707,1,centroid,10
0.7491196990013123,0.7491196990013123,"[(0, 0)]",0.0010960553772747517,1,score_known,10
23.30565071105957,23.30565071105957,"[(0, 0)]",1.0608464479446411,2,random,10
0.5799924731254578,0.5799924731254578,"[(0, 0)]",0.0006570141995325685,2,centroid,10
0.7815001010894775,0.7815001010894775,"[(0, 0)]",0.0011928562307730317,2,score_known,10
23.107032775878906,23.107032775878906,"[(0, 0)]",1.0428416728973389,3,random,10
0.3805328905582428,0.3805328905582428,"[(0, 0)]",0.00028282281709834933,3,centroid,10
0.4955337941646576,0.4955337941646576,"[(0, 0)]",0.00047959716175682843,3,score_known,10
22.784774780273438,22.784774780273438,"[(0, 0)]",1.013956904411316,4,random,10
0.43031275272369385,0.43031275272369385,"[(0, 0)]",0.000361658341716975,4,centroid,10
0.50846928358078,0.50846928358078,"[(0, 0)]",0.0005049628671258688,4,score_known,10
21.76663589477539,21.76663589477539,"[(0, 0)]",0.9253641366958618,5,random,10
0.34892553091049194,0.34892553091049194,"[(0, 0)]",0.0002377910859650001,5,centroid,10
0.3803945481777191,0.3803945481777191,"[(0, 0)]",0.0002826171985361725,5,score_known,10
23.143434524536133,23.143434524536133,"[(0, 0)]",1.0461299419403076,6,random,10
0.5133748054504395,0.5133748054504395,"[(0, 0)]",0.0005147533374838531,6,centroid,10
0.6703752279281616,0.6703752279281616,"[(0, 0)]",0.0008777400944381952,6,score_known,10
22.175586700439453,22.175586700439453,"[(0, 0)]",0.9604622721672058,7,random,10
0.2919423282146454,0.2919423282146454,"[(0, 0)]",0.00016646548465359956,7,centroid,10
0.4538964033126831,0.4538964033126831,"[(0, 0)]",0.00040238662040792406,7,score_known,10
22.98917579650879,22.98917579650879,"[(0, 0)]",1.0322308540344238,8,random,10
0.521346926689148,0.521346926689148,"[(0, 0)]",0.0005308645195327699,8,centroid,10
0.6543316841125488,0.6543316841125488,"[(0, 0)]",0.0008362304070033133,8,score_known,10
22.73235321044922,22.73235321044922,"[(0, 0)]",1.0092966556549072,9,random,10
0.3970103859901428,0.3970103859901428,"[(0, 0)]",0.00030784617410972714,9,centroid,10
0.518877387046814,0.518877387046814,"[(0, 0)]",0.0005258471937850118,9,score_known,10
