total_distance,avg_distance,matching,mse,query_no,attack_type,n_selected
23.177234649658203,23.177234649658203,"[(0, 0)]",1.0491878986358643,0,random,10
0.44685089588165283,0.44685089588165283,"[(0, 0)]",0.00038999164826236665,0,centroid,10
0.7691895365715027,0.7691895365715027,"[(0, 0)]",0.0011555713135749102,0,score_known,10
23.084102630615234,23.084102630615234,"[(0, 0)]",1.0407730340957642,0,random,60
0.47150230407714844,0.47150230407714844,"[(0, 0)]",0.00043420784641057253,0,centroid,60
0.6912148594856262,0.6912148594856262,"[(0, 0)]",0.0009331601904705167,0,score_known,60
22.27012062072754,22.27012062072754,"[(0, 0)]",0.9686685800552368,0,random,110
0.4895164370536804,0.4895164370536804,"[(0, 0)]",0.00046802021097391844,0,centroid,110
0.7243006229400635,0.7243006229400635,"[(0, 0)]",0.0010246315505355597,0,score_known,110
23.044288635253906,23.044288635253906,"[(0, 0)]",1.0371860265731812,1,random,10
0.32335564494132996,0.32335564494132996,"[(0, 0)]",0.0002042165579041466,1,centroid,10
0.7137370705604553,0.7137370705604553,"[(0, 0)]",0.0009949621744453907,1,score_known,10
22.598583221435547,22.598583221435547,"[(0, 0)]",0.997452974319458,1,random,60
0.3673192262649536,0.3673192262649536,"[(0, 0)]",0.00026352229178883135,1,centroid,60
0.8037012219429016,0.8037012219429016,"[(0, 0)]",0.0012615930754691362,1,score_known,60
22.731321334838867,22.731321334838867,"[(0, 0)]",1.0092049837112427,1,random,110
0.3966315686702728,0.3966315686702728,"[(0, 0)]",0.00030725900433026254,1,centroid,110
0.6775169968605042,0.6775169968605042,"[(0, 0)]",0.0008965416345745325,1,score_known,110
23.010149002075195,23.010149002075195,"[(0, 0)]",1.0341150760650635,2,random,10
0.3626284599304199,0.3626284599304199,"[(0, 0)]",0.00025683475541882217,2,centroid,10
0.5102779865264893,0.5102779865264893,"[(0, 0)]",0.0005085617885924876,2,score_known,10
21.50599479675293,21.50599479675293,"[(0, 0)]",0.9033356308937073,2,random,60
0.4000684320926666,0.4000684320926666,"[(0, 0)]",0.0003126069495920092,2,centroid,60
0.6217813491821289,0.6217813491821289,"[(0, 0)]",0.0007551016169600189,2,score_known,60
22.958515167236328,22.958515167236328,"[(0, 0)]",1.0294793844223022,2,random,110
0.43022769689559937,0.43022769689559937,"[(0, 0)]",0.00036151535459794104,2,centroid,110
0.728469729423523,0.728469729423523,"[(0, 0)]",0.0010364612098783255,2,score_known,110
23.49341583251953,23.49341583251953,"[(0, 0)]",1.0780088901519775,3,random,10
0.4476162791252136,0.4476162791252136,"[(0, 0)]",0.00039132876554504037,3,centroid,10
0.530975878238678,0.530975878238678,"[(0, 0)]",0.0005506550660356879,3,score_known,10
21.66861915588379,21.66861915588379,"[(0, 0)]",0.9170489311218262,3,random,60
0.5246232748031616,0.5246232748031616,"[(0, 0)]",0.0005375577602535486,3,centroid,60
0.7098302245140076,0.7098302245140076,"[(0, 0)]",0.0009840994607657194,3,score_known,60
22.365158081054688,22.365158081054688,"[(0, 0)]",0.9769537448883057,3,random,110
0.510715126991272,0.510715126991272,"[(0, 0)]",0.0005094334483146667,3,centroid,110
0.8793099522590637,0.8793099522590637,"[(0, 0)]",0.0015101289609447122,3,score_known,110
22.762046813964844,22.762046813964844,"[(0, 0)]",1.0119351148605347,4,random,10
0.538885772228241,0.538885772228241,"[(0, 0)]",0.0005671833641827106,4,centroid,10
0.5520790219306946,0.5520790219306946,"[(0, 0)]",0.0005952953943051398,4,score_known,10
