AGGREGATION_METHOD,GRAD_MODE,TRIGGER_RATE,IS_SYBIL,ADV_RATE,CHANGE_BASE,IID,MAX_ASR,FINAL_ASR,FINAL_MAIN_ACC,FINAL_CLEAN_ACC,FINAL_TRIGGERED_ACC,ASR_25PCT,ASR_50PCT,ASR_75PCT,ROUNDS_TO_50PCT_ASR,ROUNDS_TO_75PCT_ASR,ROUNDS_TO_90PCT_ASR,AVG_MALICIOUS_RATE,AVG_BENIGN_RATE,ASR_PER_ADV,STEALTH,TOTAL_ROUNDS
martfl,single,0.25,mimic,0.3,True,IID,0.1451,0.0857,0.8148,0.8279,0.817,0.0718,0.0787,0.0608,-1,-1,-1,0.015873015873015872,0.31972789115646255,0.2856666666666667,0.9869,21
martfl,single,0.25,mimic,0.3,False,IID,0.3168,0.2828,0.856,0.871,0.7128,0.0855,0.1416,0.1894,-1,-1,-1,0.14814814814814817,0.6167800453514739,0.9426666666666667,0.985,21
martfl,single,0.25,mimic,0.4,True,IID,0.2152,0.0977,0.8289,0.8403,0.8092,0.0678,0.1033,0.0661,-1,-1,-1,0.015873015873015872,0.32539682539682535,0.24424999999999997,0.9885999999999999,21
martfl,single,0.25,mimic,0.4,False,IID,0.6962,0.6962,0.8556,0.8689,0.3805,0.0955,0.188,0.5385,15,-1,-1,0.18253968253968256,0.6587301587301587,1.7405,0.9867,21
martfl,single,0.5,False,0.1,True,IID,0.1071,0.0678,0.8194,0.825,0.7935,0.0972,0.1071,0.0918,-1,-1,-1,0.0,0.3121693121693122,0.6779999999999999,0.9944000000000001,21
martfl,single,0.5,False,0.1,False,IID,0.1477,0.0903,0.8591,0.8753,0.8508,0.0808,0.1161,0.087,-1,-1,-1,0.07936507936507936,0.6155202821869489,0.903,0.9838,21
martfl,single,0.5,False,0.2,True,IID,0.1036,0.1036,0.8317,0.8447,0.824,0.0778,0.0939,0.0779,-1,-1,-1,0.0,0.36111111111111116,0.5179999999999999,0.987,21
martfl,single,0.5,False,0.2,False,IID,0.1968,0.0953,0.861,0.8742,0.8532,0.0821,0.0986,0.0977,-1,-1,-1,0.06349206349206349,0.640873015873016,0.4765,0.9868,21
martfl,single,0.5,False,0.3,True,IID,0.1092,0.1005,0.8177,0.8268,0.7965,0.089,0.0883,0.1092,-1,-1,-1,0.0,0.36507936507936506,0.335,0.9909,21
martfl,single,0.5,False,0.3,False,IID,0.2758,0.1133,0.8603,0.8749,0.8449,0.0811,0.2758,0.1161,-1,-1,-1,0.06878306878306878,0.693877551020408,0.37766666666666665,0.9853999999999999,21
martfl,single,0.5,False,0.4,True,IID,0.1258,0.0689,0.8206,0.8325,0.8134,0.0842,0.0665,0.063,-1,-1,-1,0.0,0.41534391534391524,0.17225,0.9881,21
martfl,single,0.5,False,0.4,False,IID,0.53,0.116,0.8602,0.8743,0.8434,0.0807,0.154,0.0973,7,-1,-1,0.047619047619047616,0.6613756613756614,0.29,0.9859,21
martfl,single,0.5,mimic,0.1,True,IID,0.1071,0.0678,0.8194,0.825,0.7935,0.0972,0.1071,0.0918,-1,-1,-1,0.0,0.3121693121693122,0.6779999999999999,0.9944000000000001,21
martfl,single,0.5,mimic,0.1,False,IID,0.1477,0.0903,0.8591,0.8753,0.8508,0.0808,0.1161,0.087,-1,-1,-1,0.07936507936507936,0.6155202821869489,0.903,0.9838,21
martfl,single,0.5,mimic,0.2,True,IID,0.1036,0.1036,0.8317,0.8447,0.824,0.0778,0.0939,0.0779,-1,-1,-1,0.0,0.36111111111111116,0.5179999999999999,0.987,21
martfl,single,0.5,mimic,0.2,False,IID,0.1968,0.0953,0.861,0.8742,0.8532,0.0821,0.0986,0.0977,-1,-1,-1,0.06349206349206349,0.640873015873016,0.4765,0.9868,21
martfl,single,0.5,mimic,0.3,True,IID,0.1092,0.1005,0.8177,0.8268,0.7965,0.089,0.0883,0.1092,-1,-1,-1,0.0,0.36507936507936506,0.335,0.9909,21
martfl,single,0.5,mimic,0.3,False,IID,0.2758,0.1133,0.8603,0.8749,0.8449,0.0811,0.2758,0.1161,-1,-1,-1,0.06878306878306878,0.693877551020408,0.37766666666666665,0.9853999999999999,21
martfl,single,0.5,mimic,0.4,True,IID,0.1258,0.0689,0.8206,0.8325,0.8134,0.0842,0.0665,0.063,-1,-1,-1,0.0,0.41534391534391524,0.17225,0.9881,21
martfl,single,0.5,mimic,0.4,False,IID,0.53,0.116,0.8602,0.8743,0.8434,0.0807,0.154,0.0973,7,-1,-1,0.047619047619047616,0.6613756613756614,0.29,0.9859,21
fedavg,single,0.25,False,0.1,False,NonIID,0.2978,0.2978,0.8459,0.855,0.6929,0.1378,0.1702,0.2122,-1,-1,-1,1.0,1.0,2.9779999999999998,0.9909,21
fedavg,single,0.25,False,0.2,False,NonIID,0.8233,0.8233,0.8451,0.8518,0.2661,0.2809,0.4726,0.7123,12,18,-1,1.0,1.0,4.1165,0.9933,21
fedavg,single,0.25,False,0.3,False,NonIID,0.9349,0.9349,0.8434,0.8506,0.1615,0.5631,0.8308,0.9001,6,9,16,1.0,1.0,3.1163333333333334,0.9928,21
fedavg,single,0.25,False,0.4,False,NonIID,0.9786,0.9786,0.8401,0.8454,0.1184,0.8629,0.9291,0.9627,0,5,8,1.0,1.0,2.4465,0.9946999999999999,21
fedavg,single,0.25,mimic,0.1,False,NonIID,0.2568,0.2568,0.878,0.8876,0.7662,0.1224,0.1138,0.1631,-1,-1,-1,1.0,1.0,2.5679999999999996,0.9904000000000001,51
fedavg,single,0.25,mimic,0.2,False,NonIID,0.8502,0.8502,0.8784,0.8856,0.2407,0.1282,0.3281,0.7601,30,39,-1,1.0,1.0,4.2509999999999994,0.9927999999999999,51
fedavg,single,0.25,mimic,0.3,False,NonIID,0.9382,0.9338,0.8786,0.8852,0.1611,0.142,0.8124,0.9092,20,24,39,1.0,1.0,3.1126666666666667,0.9934000000000001,51
fedavg,single,0.25,mimic,0.4,False,NonIID,0.9738,0.9698,0.8788,0.8858,0.1265,0.2964,0.9257,0.9625,0,17,24,1.0,1.0,2.4244999999999997,0.993,51
fedavg,single,0.5,False,0.1,False,NonIID,0.4513,0.3843,0.8427,0.8508,0.6184,0.1546,0.2015,0.2656,-1,-1,-1,1.0,1.0,3.8429999999999995,0.9919,21
fedavg,single,0.5,False,0.2,False,NonIID,0.8627,0.8627,0.8403,0.8481,0.2291,0.3449,0.6331,0.8072,0,14,-1,1.0,1.0,4.3134999999999994,0.9922000000000001,21
fedavg,single,0.5,False,0.3,False,NonIID,0.9576,0.9576,0.837,0.8433,0.1393,0.7353,0.8888,0.9323,0,7,12,1.0,1.0,3.192,0.9936999999999999,21
fedavg,single,0.5,False,0.4,False,NonIID,0.9914,0.9914,0.8338,0.843,0.106,0.9027,0.9573,0.9791,0,0,6,1.0,1.0,2.4785,0.9908,21
fedavg,single,0.5,mimic,0.1,False,NonIID,0.4918,0.4912,0.8767,0.8867,0.5627,0.1294,0.1429,0.2897,-1,-1,-1,1.0,1.0,4.912,0.99,51
fedavg,single,0.5,mimic,0.2,False,NonIID,0.6078,0.2795,0.8351,0.8461,0.7202,0.1326,0.1332,0.1604,0,-1,-1,1.0,1.0,1.3975,0.989,21
fedavg,single,0.25,False,0.1,False,IID,0.2944,0.2944,0.8857,0.9073,0.7322,0.1237,0.129,0.1779,-1,-1,-1,1.0,1.0,2.944,0.9784,51
fedavg,single,0.25,False,0.2,False,IID,0.8193,0.8193,0.8852,0.9067,0.2746,0.1286,0.2952,0.7262,32,41,-1,1.0,1.0,4.0965,0.9785,51
fedavg,single,0.25,False,0.3,False,IID,0.9187,0.9187,0.8865,0.906,0.1798,0.1412,0.7799,0.8842,21,26,44,1.0,1.0,3.062333333333333,0.9804999999999999,51
fedavg,single,0.25,False,0.4,False,IID,0.9573,0.9552,0.8871,0.9057,0.1449,0.2347,0.8974,0.9381,17,20,28,1.0,1.0,2.388,0.9814,51
fedavg,single,0.25,mimic,0.1,False,IID,0.2944,0.2944,0.8857,0.9073,0.7322,0.1237,0.129,0.1779,-1,-1,-1,1.0,1.0,2.944,0.9784,51
fedavg,single,0.25,mimic,0.2,False,IID,0.8193,0.8193,0.8852,0.9067,0.2746,0.1286,0.2952,0.7262,32,41,-1,1.0,1.0,4.0965,0.9785,51
fedavg,single,0.25,mimic,0.3,False,IID,0.9187,0.9187,0.8865,0.906,0.1798,0.1412,0.7799,0.8842,21,26,44,1.0,1.0,3.062333333333333,0.9804999999999999,51
fedavg,single,0.25,mimic,0.4,False,IID,0.9573,0.9552,0.8871,0.9057,0.1449,0.2347,0.8974,0.9381,17,20,28,1.0,1.0,2.388,0.9814,51
fedavg,single,0.5,False,0.1,False,IID,0.4892,0.4892,0.8878,0.9074,0.5614,0.1297,0.1522,0.2642,-1,-1,-1,1.0,1.0,4.892,0.9804,51
fedavg,single,0.5,False,0.2,False,IID,0.8624,0.8622,0.8863,0.9045,0.2331,0.1461,0.4997,0.7957,0,36,-1,1.0,1.0,4.311,0.9818,51
fedavg,single,0.5,False,0.3,False,IID,0.9467,0.9429,0.8853,0.9034,0.157,0.1868,0.8438,0.9184,0,23,34,1.0,1.0,3.143,0.9819,51
fedavg,single,0.5,False,0.4,False,IID,0.9747,0.9703,0.8841,0.9021,0.1304,0.4341,0.9362,0.9636,0,0,22,1.0,1.0,2.42575,0.982,51
fedavg,single,0.5,mimic,0.1,False,IID,0.4892,0.4892,0.8878,0.9074,0.5614,0.1297,0.1522,0.2642,-1,-1,-1,1.0,1.0,4.892,0.9804,51
fedavg,single,0.5,mimic,0.2,False,IID,0.5225,0.2241,0.851,0.8663,0.7637,0.1282,0.1383,0.1527,0,-1,-1,1.0,1.0,1.1204999999999998,0.9847,21
