AGGREGATION_METHOD,GRAD_MODE,TRIGGER_RATE,IS_SYBIL,ADV_RATE,CHANGE_BASE,IID,MAX_ASR,FINAL_ASR,FINAL_MAIN_ACC,FINAL_CLEAN_ACC,FINAL_TRIGGERED_ACC,ASR_25PCT,ASR_50PCT,ASR_75PCT,ROUNDS_TO_50PCT_ASR,ROUNDS_TO_75PCT_ASR,ROUNDS_TO_90PCT_ASR,AVG_MALICIOUS_RATE,AVG_BENIGN_RATE,ASR_PER_ADV,STEALTH,TOTAL_ROUNDS
martfl,single,0.5,True,0.3,False,NonIID,0.9888,0.969,0.7735,0.7861,0.1267,0.6802,0.8597,0.9537,0,0,0,0.783068783068783,0.5351473922902494,3.23,0.9873999999999999,21
martfl,single,0.5,True,0.4,True,NonIID,1.0,0.0986,0.5136,0.5136,0.505,0.098,0.0956,0.098,0,0,0,0.013285024154589372,0.07568438003220611,0.24649999999999997,1.0,69
martfl,single,0.5,True,0.4,False,NonIID,1.0,0.9855,0.7543,0.7667,0.1112,0.8543,0.9556,0.9887,0,0,0,0.7341269841269841,0.560846560846561,2.46375,0.9875999999999999,21
fedavg,single,0.25,False,0.1,False,NonIID,0.2978,0.2978,0.8459,0.855,0.6929,0.1378,0.1702,0.2122,-1,-1,-1,1.0,1.0,2.9779999999999998,0.9909,21
fedavg,single,0.25,False,0.2,False,NonIID,0.8233,0.8233,0.8451,0.8518,0.2661,0.2809,0.4726,0.7123,12,18,-1,1.0,1.0,4.1165,0.9933,21
fedavg,single,0.25,False,0.3,False,NonIID,0.9349,0.9349,0.8434,0.8506,0.1615,0.5631,0.8308,0.9001,6,9,16,1.0,1.0,3.1163333333333334,0.9928,21
fedavg,single,0.25,False,0.4,False,NonIID,0.9786,0.9786,0.8401,0.8454,0.1184,0.8629,0.9291,0.9627,0,5,8,1.0,1.0,2.4465,0.9946999999999999,21
fedavg,single,0.25,True,0.1,False,NonIID,0.2978,0.2978,0.8459,0.855,0.6929,0.1378,0.1702,0.2122,-1,-1,-1,1.0,1.0,2.9779999999999998,0.9909,21
fedavg,single,0.25,True,0.2,False,NonIID,0.8233,0.8233,0.8451,0.8518,0.2661,0.2809,0.4726,0.7123,12,18,-1,1.0,1.0,4.1165,0.9933,21
fedavg,single,0.25,True,0.3,False,NonIID,0.9349,0.9349,0.8434,0.8506,0.1615,0.5631,0.8308,0.9001,6,9,16,1.0,1.0,3.1163333333333334,0.9928,21
fedavg,single,0.25,True,0.4,False,NonIID,0.9786,0.9786,0.8401,0.8454,0.1184,0.8629,0.9291,0.9627,0,5,8,1.0,1.0,2.4465,0.9946999999999999,21
fedavg,single,0.5,False,0.1,False,NonIID,0.4513,0.3843,0.8427,0.8508,0.6184,0.1546,0.2015,0.2656,-1,-1,-1,1.0,1.0,3.8429999999999995,0.9919,21
fedavg,single,0.5,False,0.2,False,NonIID,0.8627,0.8627,0.8403,0.8481,0.2291,0.3449,0.6331,0.8072,0,14,-1,1.0,1.0,4.3134999999999994,0.9922000000000001,21
fedavg,single,0.5,False,0.3,False,NonIID,0.9576,0.9576,0.837,0.8433,0.1393,0.7353,0.8888,0.9323,0,7,12,1.0,1.0,3.192,0.9936999999999999,21
fedavg,single,0.5,False,0.4,False,NonIID,0.9914,0.9914,0.8338,0.843,0.106,0.9027,0.9573,0.9791,0,0,6,1.0,1.0,2.4785,0.9908,21
fedavg,single,0.5,True,0.1,False,NonIID,0.4513,0.3843,0.8427,0.8508,0.6184,0.1546,0.2015,0.2656,-1,-1,-1,1.0,1.0,3.8429999999999995,0.9919,21
fedavg,single,0.5,True,0.2,False,NonIID,0.8627,0.8627,0.8403,0.8481,0.2291,0.3449,0.6331,0.8072,0,14,-1,1.0,1.0,4.3134999999999994,0.9922000000000001,21
fedavg,single,0.5,True,0.3,False,NonIID,0.9576,0.9576,0.837,0.8433,0.1393,0.7353,0.8888,0.9323,0,7,12,1.0,1.0,3.192,0.9936999999999999,21
fedavg,single,0.5,True,0.4,False,NonIID,0.9914,0.9914,0.8338,0.843,0.106,0.9027,0.9573,0.9791,0,0,6,1.0,1.0,2.4785,0.9908,21
fedavg,single,0.25,False,0.1,False,IID,0.2944,0.2944,0.8857,0.9073,0.7322,0.1237,0.129,0.1779,-1,-1,-1,1.0,1.0,2.944,0.9784,51
fedavg,single,0.25,False,0.2,False,IID,0.8193,0.8193,0.8852,0.9067,0.2746,0.1286,0.2952,0.7262,32,41,-1,1.0,1.0,4.0965,0.9785,51
fedavg,single,0.25,False,0.3,False,IID,0.9187,0.9187,0.8865,0.906,0.1798,0.1412,0.7799,0.8842,21,26,44,1.0,1.0,3.062333333333333,0.9804999999999999,51
fedavg,single,0.25,False,0.4,False,IID,0.9573,0.9552,0.8871,0.9057,0.1449,0.2347,0.8974,0.9381,17,20,28,1.0,1.0,2.388,0.9814,51
fedavg,single,0.25,True,0.1,False,IID,0.2944,0.2944,0.8857,0.9073,0.7322,0.1237,0.129,0.1779,-1,-1,-1,1.0,1.0,2.944,0.9784,51
fedavg,single,0.25,True,0.2,False,IID,0.8193,0.8193,0.8852,0.9067,0.2746,0.1286,0.2952,0.7262,32,41,-1,1.0,1.0,4.0965,0.9785,51
fedavg,single,0.25,True,0.3,False,IID,0.9187,0.9187,0.8865,0.906,0.1798,0.1412,0.7799,0.8842,21,26,44,1.0,1.0,3.062333333333333,0.9804999999999999,51
fedavg,single,0.25,True,0.4,False,IID,0.9573,0.9552,0.8871,0.9057,0.1449,0.2347,0.8974,0.9381,17,20,28,1.0,1.0,2.388,0.9814,51
fedavg,single,0.5,False,0.1,False,IID,0.4892,0.4892,0.8878,0.9074,0.5614,0.1297,0.1522,0.2642,-1,-1,-1,1.0,1.0,4.892,0.9804,51
fedavg,single,0.5,False,0.2,False,IID,0.8624,0.8622,0.8863,0.9045,0.2331,0.1461,0.4997,0.7957,0,36,-1,1.0,1.0,4.311,0.9818,51
fedavg,single,0.5,False,0.3,False,IID,0.9467,0.9429,0.8853,0.9034,0.157,0.1868,0.8438,0.9184,0,23,34,1.0,1.0,3.143,0.9819,51
fedavg,single,0.5,False,0.4,False,IID,0.9747,0.9703,0.8841,0.9021,0.1304,0.4341,0.9362,0.9636,0,0,22,1.0,1.0,2.42575,0.982,51
fedavg,single,0.5,True,0.1,False,IID,0.4892,0.4892,0.8878,0.9074,0.5614,0.1297,0.1522,0.2642,-1,-1,-1,1.0,1.0,4.892,0.9804,51
fedavg,single,0.5,True,0.2,False,IID,0.8624,0.8622,0.8863,0.9045,0.2331,0.1461,0.4997,0.7957,0,36,-1,1.0,1.0,4.311,0.9818,51
fedavg,single,0.5,True,0.3,False,IID,0.9467,0.9429,0.8853,0.9034,0.157,0.1868,0.8438,0.9184,0,23,34,1.0,1.0,3.143,0.9819,51
fedavg,single,0.5,True,0.4,False,IID,0.9747,0.9703,0.8841,0.9021,0.1304,0.4341,0.9362,0.9636,0,0,22,1.0,1.0,2.42575,0.982,51
