round,AGGREGATION_METHOD,GRAD_MODE,TRIGGER_RATE,IS_SYBIL,ADV_RATE,CHANGE_BASE,IID,main_acc,main_loss,clean_acc,triggered_acc,asr,malicious_rate,benign_rate,avg_malicious_rate,avg_benign_rate,baseline_client_id,malicious_baseline
10,martfl,single,0.25,False,0.1,False,NonIID,0.6968,1.0070072050094605,0.7085,0.6361,0.1642,0.0,0.3333333333333333,0.8484848484848485,0.6397306397306397,,
11,martfl,single,0.25,False,0.1,False,NonIID,0.7301,0.6703432176589966,0.7346,0.6895,0.1678,1.0,0.6666666666666666,0.8611111111111112,0.6419753086419753,,
12,martfl,single,0.25,False,0.1,False,NonIID,0.7506,0.6447168429374694,0.7636,0.6854,0.2131,1.0,0.6666666666666666,0.8717948717948718,0.6438746438746439,,
13,martfl,single,0.25,False,0.1,False,NonIID,0.7799,0.5470050126075745,0.7856,0.6848,0.2086,1.0,0.7407407407407407,0.880952380952381,0.6507936507936508,,
14,martfl,single,0.25,False,0.1,False,NonIID,0.733,0.9202524827003479,0.746,0.6857,0.1724,0.0,0.25925925925925924,0.8222222222222223,0.6246913580246913,,
15,martfl,single,0.25,False,0.1,False,NonIID,0.7658,0.5904416758060456,0.768,0.7055,0.1897,1.0,0.7037037037037037,0.8333333333333334,0.6296296296296297,,
16,martfl,single,0.25,False,0.1,False,NonIID,0.7706,0.5963227797508239,0.7871,0.6738,0.2621,1.0,0.5925925925925926,0.8431372549019608,0.627450980392157,,
17,martfl,single,0.25,False,0.1,False,NonIID,0.8016,0.5053367042064667,0.8057,0.6699,0.2652,1.0,0.7407407407407407,0.8518518518518519,0.6337448559670782,,
18,martfl,single,0.25,False,0.1,False,NonIID,0.7552,0.7881151349544525,0.765,0.6437,0.2619,0.0,0.2962962962962963,0.8070175438596492,0.6159844054580897,,
19,martfl,single,0.25,False,0.1,False,NonIID,0.7902,0.5263518933296204,0.7937,0.69,0.2418,1.0,0.7037037037037037,0.8166666666666668,0.6203703703703705,,
20,martfl,single,0.25,False,0.1,False,NonIID,0.751,0.842712576341629,0.7656,0.6531,0.2446,0.0,0.25925925925925924,0.7777777777777779,0.6031746031746033,,
0,martfl,single,0.25,False,0.2,True,NonIID,0.4914,1.4532242719650268,0.5008,0.5183,0.3132,1.0,0.7083333333333334,1.0,0.7083333333333334,14,False
1,martfl,single,0.25,False,0.2,True,NonIID,0.5555,1.086754655265808,0.5628,0.6122,0.0661,1.0,0.5,1.0,0.6041666666666667,6,False
2,martfl,single,0.25,False,0.2,True,NonIID,0.7097,0.7458101489543915,0.7221,0.7267,0.1074,0.0,0.125,0.6666666666666666,0.4444444444444445,7,False
3,martfl,single,0.25,False,0.2,True,NonIID,0.7301,0.7018199871063232,0.7437,0.731,0.0904,0.0,0.125,0.5,0.36458333333333337,6,False
4,martfl,single,0.25,False,0.2,True,NonIID,0.7569,0.654877981710434,0.757,0.7596,0.1104,0.0,0.041666666666666664,0.4,0.30000000000000004,6,False
5,martfl,single,0.25,False,0.2,True,NonIID,0.7543,0.6286312756538391,0.7585,0.7538,0.1095,0.0,0.041666666666666664,0.3333333333333333,0.2569444444444445,6,False
6,martfl,single,0.25,False,0.2,True,NonIID,0.7675,0.615303757238388,0.7764,0.7673,0.1046,0.0,0.041666666666666664,0.2857142857142857,0.22619047619047625,6,False
7,martfl,single,0.25,False,0.2,True,NonIID,0.7747,0.583207071352005,0.783,0.7665,0.1087,0.0,0.041666666666666664,0.25,0.20312500000000006,6,False
8,martfl,single,0.25,False,0.2,True,NonIID,0.784,0.6147541348457336,0.7974,0.7628,0.0626,0.0,0.041666666666666664,0.2222222222222222,0.18518518518518523,6,False
9,martfl,single,0.25,False,0.2,True,NonIID,0.7971,0.5416514570713044,0.8122,0.7983,0.0952,0.0,0.041666666666666664,0.2,0.1708333333333334,6,False
10,martfl,single,0.25,False,0.2,True,NonIID,0.779,0.5822563736438752,0.7972,0.7671,0.0849,0.0,0.041666666666666664,0.18181818181818182,0.15909090909090914,6,False
